Целевая площадь;Основной шаг;Доп. шаг;Основная арматура;Доп. арматура;Общая площадь;Отклонение (%)
2;0.4;0.1;Комбинации не найдены;;;;

2.5;0.4;0.1;Комбинации не найдены;;;;

3;0.4;0.1;Ø6 мм;Ø6 мм;3.537;17.92

3.1;0.4;0.1;Ø6 мм;Ø6 мм;3.537;14.11

3.5;0.4;0.1;Ø6 мм;Ø6 мм;3.537;1.07
;;;Ø8 мм;Ø6 мм;4.088;16.79

4;0.4;0.1;Ø8 мм;Ø6 мм;4.088;2.19
;;;Ø10 мм;Ø6 мм;4.793;19.81

4.5;0.4;0.1;Ø10 мм;Ø6 мм;4.793;6.50

5;0.4;0.1;Ø12 мм;Ø6 мм;5.658;13.15
;;;Ø6 мм;Ø8 мм;5.738;14.75

3;0.2;0.2;Комбинации не найдены;;;;

3;0.2;0.2;Комбинации не найдены;;;;

3;0.2;0.2;Комбинации не найдены;;;;

3;0.2;0.2;Комбинации не найдены;;;;

3;0.2;0.2;Комбинации не найдены;;;;

3;0.2;0.2;Комбинации не найдены;;;;

3;0.2;0.1;Комбинации не найдены;;;;

3;0.2;0.1;Комбинации не найдены;;;;

3;0.2;0.1;Комбинации не найдены;;;;

10;0.4;0.2;Ø18 мм;Ø10 мм;10.275;2.75
;;;Ø20 мм;Ø8 мм;10.365;3.65
;;;Ø12 мм;Ø14 мм;10.528;5.27
;;;Ø16 мм;Ø12 мм;10.680;6.80
;;;Ø6 мм;Ø16 мм;10.757;7.57

20;0.4;0.2;Ø8 мм;Ø22 мм;20.257;1.29
;;;Ø20 мм;Ø18 мм;20.550;2.75
;;;Ø16 мм;Ø20 мм;20.725;3.62
;;;Ø10 мм;Ø22 мм;20.962;4.81
;;;Ø28 мм;Ø12 мм;21.055;5.27

30;0.4;0.2;Ø32 мм;Ø16 мм;30.075;0.25
;;;Ø18 мм;Ø25 мм;30.900;3.00
;;;Ø28 мм;Ø20 мм;31.100;3.67
;;;Ø36 мм;Ø12 мм;31.105;3.68
;;;Ø25 мм;Ø22 мм;31.275;4.25

40;0.4;0.2;Ø45 мм;Ø8 мм;40.015;0.04
;;;Ø22 мм;Ø28 мм;40.300;0.75
;;;Ø6 мм;Ø32 мм;40.758;1.89
;;;Ø36 мм;Ø20 мм;41.150;2.88
;;;Ø8 мм;Ø32 мм;41.308;3.27

50;0.4;0.2;Ø36 мм;Ø25 мм;50.000;0.00
;;;Ø45 мм;Ø18 мм;50.200;0.40
;;;Ø40 мм;Ø22 мм;50.425;0.85
;;;Ø50 мм;Ø6 мм;50.490;0.98
;;;Ø32 мм;Ø28 мм;50.825;1.65

60;0.4;0.2;Ø32 мм;Ø32 мм;60.075;0.13
;;;Ø22 мм;Ø36 мм;60.400;0.67
;;;Ø55 мм;Ø6 мм;60.815;1.36
;;;Ø50 мм;Ø18 мм;61.775;2.96
;;;Ø55 мм;Ø8 мм;61.915;3.19

3;0.25;0.5;Ø8 мм;Ø8 мм;3.018;0.60
;;;Ø6 мм;Ø12 мм;3.394;13.13
;;;Ø8 мм;Ø10 мм;3.582;19.40

3;0.25;0.5;Ø8 мм;Ø8 мм;3.018;0.60
;;;Ø6 мм;Ø12 мм;3.394;13.13
;;;Ø8 мм;Ø10 мм;3.582;19.40

3;0.25;0.5;Ø8 мм;Ø8 мм;3.018;0.60
;;;Ø6 мм;Ø12 мм;3.394;13.13
;;;Ø8 мм;Ø10 мм;3.582;19.40

20;0.2;0.4;Ø22 мм;Ø8 мм;20.257;1.29
;;;Ø18 мм;Ø20 мм;20.550;2.75
;;;Ø20 мм;Ø16 мм;20.725;3.62
;;;Ø22 мм;Ø10 мм;20.962;4.81
;;;Ø12 мм;Ø28 мм;21.055;5.27

40;0.2;0.4;Ø8 мм;Ø45 мм;40.015;0.04
;;;Ø28 мм;Ø22 мм;40.300;0.75
;;;Ø32 мм;Ø6 мм;40.758;1.89
;;;Ø20 мм;Ø36 мм;41.150;2.88
;;;Ø32 мм;Ø8 мм;41.308;3.27

60;0.2;0.4;Ø32 мм;Ø32 мм;60.075;0.13
;;;Ø36 мм;Ø22 мм;60.400;0.67
;;;Ø6 мм;Ø55 мм;60.815;1.36
;;;Ø18 мм;Ø50 мм;61.775;2.96
;;;Ø8 мм;Ø55 мм;61.915;3.19

