Целевая площадь;Основной шаг;Доп. шаг;Основная арматура;Доп. арматура;Общая площадь;Отклонение (%)
0.1;0.1;0.1;Ø3 мм;Ø3 мм;1.420;1320.00
;;;Ø3 мм;Ø4 мм;1.970;1870.00
;;;Ø4 мм;Ø3 мм;1.970;1870.00
;;;Ø4 мм;Ø4 мм;2.520;2420.00
;;;Ø3 мм;Ø6 мм;3.540;3440.00
;;;Ø6 мм;Ø3 мм;3.540;3440.00
;;;Ø4 мм;Ø6 мм;4.090;3990.00
;;;Ø6 мм;Ø4 мм;4.090;3990.00
;;;Ø6 мм;Ø6 мм;5.660;5560.00
;;;Ø3 мм;Ø8 мм;5.740;5640.00
;;;Ø8 мм;Ø3 мм;5.740;5640.00
;;;Ø4 мм;Ø8 мм;6.290;6190.00
;;;Ø8 мм;Ø4 мм;6.290;6190.00
;;;Ø6 мм;Ø8 мм;7.860;7760.00
;;;Ø8 мм;Ø6 мм;7.860;7760.00
;;;Ø3 мм;Ø10 мм;8.560;8460.00
;;;Ø10 мм;Ø3 мм;8.560;8460.00
;;;Ø4 мм;Ø10 мм;9.110;9010.00
;;;Ø10 мм;Ø4 мм;9.110;9010.00
;;;Ø8 мм;Ø8 мм;10.060;9960.00

0.2;0.1;0.1;Ø3 мм;Ø3 мм;1.420;610.00
;;;Ø3 мм;Ø4 мм;1.970;885.00
;;;Ø4 мм;Ø3 мм;1.970;885.00
;;;Ø4 мм;Ø4 мм;2.520;1160.00
;;;Ø3 мм;Ø6 мм;3.540;1670.00
;;;Ø6 мм;Ø3 мм;3.540;1670.00
;;;Ø4 мм;Ø6 мм;4.090;1945.00
;;;Ø6 мм;Ø4 мм;4.090;1945.00
;;;Ø6 мм;Ø6 мм;5.660;2730.00
;;;Ø3 мм;Ø8 мм;5.740;2770.00
;;;Ø8 мм;Ø3 мм;5.740;2770.00
;;;Ø4 мм;Ø8 мм;6.290;3045.00
;;;Ø8 мм;Ø4 мм;6.290;3045.00
;;;Ø6 мм;Ø8 мм;7.860;3830.00
;;;Ø8 мм;Ø6 мм;7.860;3830.00
;;;Ø3 мм;Ø10 мм;8.560;4180.00
;;;Ø10 мм;Ø3 мм;8.560;4180.00
;;;Ø4 мм;Ø10 мм;9.110;4455.00
;;;Ø10 мм;Ø4 мм;9.110;4455.00
;;;Ø8 мм;Ø8 мм;10.060;4930.00

0.3;0.1;0.1;Ø3 мм;Ø3 мм;1.420;373.33
;;;Ø3 мм;Ø4 мм;1.970;556.67
;;;Ø4 мм;Ø3 мм;1.970;556.67
;;;Ø4 мм;Ø4 мм;2.520;740.00
;;;Ø3 мм;Ø6 мм;3.540;1080.00
;;;Ø6 мм;Ø3 мм;3.540;1080.00
;;;Ø4 мм;Ø6 мм;4.090;1263.33
;;;Ø6 мм;Ø4 мм;4.090;1263.33
;;;Ø6 мм;Ø6 мм;5.660;1786.67
;;;Ø3 мм;Ø8 мм;5.740;1813.33
;;;Ø8 мм;Ø3 мм;5.740;1813.33
;;;Ø4 мм;Ø8 мм;6.290;1996.67
;;;Ø8 мм;Ø4 мм;6.290;1996.67
;;;Ø6 мм;Ø8 мм;7.860;2520.00
;;;Ø8 мм;Ø6 мм;7.860;2520.00
;;;Ø3 мм;Ø10 мм;8.560;2753.33
;;;Ø10 мм;Ø3 мм;8.560;2753.33
;;;Ø4 мм;Ø10 мм;9.110;2936.67
;;;Ø10 мм;Ø4 мм;9.110;2936.67
;;;Ø8 мм;Ø8 мм;10.060;3253.33

0.4;0.1;0.1;Ø3 мм;Ø3 мм;1.420;255.00
;;;Ø3 мм;Ø4 мм;1.970;392.50
;;;Ø4 мм;Ø3 мм;1.970;392.50
;;;Ø4 мм;Ø4 мм;2.520;530.00
;;;Ø3 мм;Ø6 мм;3.540;785.00
;;;Ø6 мм;Ø3 мм;3.540;785.00
;;;Ø4 мм;Ø6 мм;4.090;922.50
;;;Ø6 мм;Ø4 мм;4.090;922.50
;;;Ø6 мм;Ø6 мм;5.660;1315.00
;;;Ø3 мм;Ø8 мм;5.740;1335.00
;;;Ø8 мм;Ø3 мм;5.740;1335.00
;;;Ø4 мм;Ø8 мм;6.290;1472.50
;;;Ø8 мм;Ø4 мм;6.290;1472.50
;;;Ø6 мм;Ø8 мм;7.860;1865.00
;;;Ø8 мм;Ø6 мм;7.860;1865.00
;;;Ø3 мм;Ø10 мм;8.560;2040.00
;;;Ø10 мм;Ø3 мм;8.560;2040.00
;;;Ø4 мм;Ø10 мм;9.110;2177.50
;;;Ø10 мм;Ø4 мм;9.110;2177.50
;;;Ø8 мм;Ø8 мм;10.060;2415.00

0.5;0.1;0.1;Ø3 мм;Ø3 мм;1.420;184.00
;;;Ø3 мм;Ø4 мм;1.970;294.00
;;;Ø4 мм;Ø3 мм;1.970;294.00
;;;Ø4 мм;Ø4 мм;2.520;404.00
;;;Ø3 мм;Ø6 мм;3.540;608.00
;;;Ø6 мм;Ø3 мм;3.540;608.00
;;;Ø4 мм;Ø6 мм;4.090;718.00
;;;Ø6 мм;Ø4 мм;4.090;718.00
;;;Ø6 мм;Ø6 мм;5.660;1032.00
;;;Ø3 мм;Ø8 мм;5.740;1048.00
;;;Ø8 мм;Ø3 мм;5.740;1048.00
;;;Ø4 мм;Ø8 мм;6.290;1158.00
;;;Ø8 мм;Ø4 мм;6.290;1158.00
;;;Ø6 мм;Ø8 мм;7.860;1472.00
;;;Ø8 мм;Ø6 мм;7.860;1472.00
;;;Ø3 мм;Ø10 мм;8.560;1612.00
;;;Ø10 мм;Ø3 мм;8.560;1612.00
;;;Ø4 мм;Ø10 мм;9.110;1722.00
;;;Ø10 мм;Ø4 мм;9.110;1722.00
;;;Ø8 мм;Ø8 мм;10.060;1912.00

0.6;0.1;0.1;Ø3 мм;Ø3 мм;1.420;136.67
;;;Ø3 мм;Ø4 мм;1.970;228.33
;;;Ø4 мм;Ø3 мм;1.970;228.33
;;;Ø4 мм;Ø4 мм;2.520;320.00
;;;Ø3 мм;Ø6 мм;3.540;490.00
;;;Ø6 мм;Ø3 мм;3.540;490.00
;;;Ø4 мм;Ø6 мм;4.090;581.67
;;;Ø6 мм;Ø4 мм;4.090;581.67
;;;Ø6 мм;Ø6 мм;5.660;843.33
;;;Ø3 мм;Ø8 мм;5.740;856.67
;;;Ø8 мм;Ø3 мм;5.740;856.67
;;;Ø4 мм;Ø8 мм;6.290;948.33
;;;Ø8 мм;Ø4 мм;6.290;948.33
;;;Ø6 мм;Ø8 мм;7.860;1210.00
;;;Ø8 мм;Ø6 мм;7.860;1210.00
;;;Ø3 мм;Ø10 мм;8.560;1326.67
;;;Ø10 мм;Ø3 мм;8.560;1326.67
;;;Ø4 мм;Ø10 мм;9.110;1418.33
;;;Ø10 мм;Ø4 мм;9.110;1418.33
;;;Ø8 мм;Ø8 мм;10.060;1576.67

0.7;0.1;0.1;Ø3 мм;Ø3 мм;1.420;102.86
;;;Ø3 мм;Ø4 мм;1.970;181.43
;;;Ø4 мм;Ø3 мм;1.970;181.43
;;;Ø4 мм;Ø4 мм;2.520;260.00
;;;Ø3 мм;Ø6 мм;3.540;405.71
;;;Ø6 мм;Ø3 мм;3.540;405.71
;;;Ø4 мм;Ø6 мм;4.090;484.29
;;;Ø6 мм;Ø4 мм;4.090;484.29
;;;Ø6 мм;Ø6 мм;5.660;708.57
;;;Ø3 мм;Ø8 мм;5.740;720.00
;;;Ø8 мм;Ø3 мм;5.740;720.00
