Тип несоответствия,TXT индекс,SLI индекс,Элемент из txt,Элемент из sli
,,,,
Несоответствие индексов,2744,2273,10.25000 | 7.25000 | 6.60000      9.75000 | 7.25000 | 6.60000      10.25000 | 6.75000 | 6.60000      9.75000 | 6.75000 | 6.60000,10.25000 | 7.25000 | 6.60000      9.75000 | 7.25000 | 6.60000      9.75000 | 6.75000 | 6.60000      10.25000 | 6.75000 | 6.60000
Несоответствие индексов,808,633,3.25000 | 1.25000 | 9.90000      2.75000 | 1.25000 | 9.90000      3.25000 | 0.75000 | 9.90000      2.75000 | 0.75000 | 9.90000,3.25000 | 1.25000 | 9.90000      2.75000 | 1.25000 | 9.90000      2.75000 | 0.75000 | 9.90000      3.25000 | 0.75000 | 9.90000
Несоответствие индексов,633,478,2.25000 | 10.25000 | 6.60000      1.75000 | 10.25000 | 6.60000      2.25000 | 9.75000 | 6.60000      1.75000 | 9.75000 | 6.60000,2.25000 | 10.25000 | 6.60000      1.75000 | 10.25000 | 6.60000      1.75000 | 9.75000 | 6.60000      2.25000 | 9.75000 | 6.60000
Несоответствие индексов,2034,4190,6.75000 | 12.75000 | 3.30000      7.25000 | 12.75000 | 3.30000,6.75000 | 12.75000 | 3.30000      7.25000 | 12.75000 | 3.30000
Несоответствие индексов,2150,1745,7.75000 | 11.25000 | 3.30000      7.25000 | 11.25000 | 3.30000      7.75000 | 10.75000 | 3.30000      7.25000 | 10.75000 | 3.30000,7.75000 | 11.25000 | 3.30000      7.25000 | 11.25000 | 3.30000      7.25000 | 10.75000 | 3.30000      7.75000 | 10.75000 | 3.30000
Несоответствие индексов,3185,2572,11.25000 | 11.25000 | 3.30000      10.75000 | 11.25000 | 3.30000      11.25000 | 10.75000 | 3.30000      10.75000 | 10.75000 | 3.30000,11.25000 | 11.25000 | 3.30000      10.75000 | 11.25000 | 3.30000      10.75000 | 10.75000 | 3.30000      11.25000 | 10.75000 | 3.30000
Несоответствие индексов,1998,1608,7.25000 | 9.75000 | 0.00000      6.75000 | 9.75000 | 0.00000      7.25000 | 9.25000 | 0.00000      6.75000 | 9.25000 | 0.00000,7.25000 | 9.75000 | 0.00000      6.75000 | 9.75000 | 0.00000      6.75000 | 9.25000 | 0.00000      7.25000 | 9.25000 | 0.00000
Несоответствие индексов,2619,2166,9.75000 | 8.25000 | 3.30000      9.25000 | 8.25000 | 3.30000      9.75000 | 7.75000 | 3.30000      9.25000 | 7.75000 | 3.30000,9.75000 | 8.25000 | 3.30000      9.25000 | 8.25000 | 3.30000      9.25000 | 7.75000 | 3.30000      9.75000 | 7.75000 | 3.30000
Несоответствие индексов,2690,2224,10.17500 | 2.75000 | 6.60000      9.60000 | 2.75000 | 6.60000      10.17500 | 2.25000 | 6.60000      9.60000 | 2.25000 | 6.60000,10.17500 | 2.75000 | 6.60000      9.60000 | 2.75000 | 6.60000      9.60000 | 2.25000 | 6.60000      10.17500 | 2.25000 | 6.60000
Несоответствие индексов,3351,2718,12.25000 | 1.25000 | 3.30000      11.75000 | 1.25000 | 3.30000      12.25000 | 0.75000 | 3.30000      11.75000 | 0.75000 | 3.30000,12.25000 | 1.25000 | 3.30000      11.75000 | 1.25000 | 3.30000      11.75000 | 0.75000 | 3.30000      12.25000 | 0.75000 | 3.30000
Несоответствие индексов,231,3900,0.75000 | 10.75000 | 9.90000      0.75000 | 11.25000 | 9.90000,0.75000 | 10.75000 | 9.90000      0.75000 | 11.25000 | 9.90000
Несоответствие индексов,3625,2968,13.25000 | 3.75000 | 9.90000      12.75000 | 3.75000 | 9.90000      13.25000 | 3.25000 | 9.90000      12.75000 | 3.25000 | 9.90000,13.25000 | 3.75000 | 9.90000      12.75000 | 3.75000 | 9.90000      12.75000 | 3.25000 | 9.90000      13.25000 | 3.25000 | 9.90000
Несоответствие индексов,3807,3134,13.75000 | 10.25000 | 3.30000      13.25000 | 10.25000 | 3.30000      13.75000 | 9.75000 | 3.30000      13.25000 | 9.75000 | 3.30000,13.75000 | 10.25000 | 3.30000      13.25000 | 10.25000 | 3.30000      13.25000 | 9.75000 | 3.30000      13.75000 | 9.75000 | 3.30000
Несоответствие индексов,2276,1859,8.25000 | 10.25000 | 9.90000      7.75000 | 10.25000 | 9.90000      8.25000 | 9.75000 | 9.90000      7.75000 | 9.75000 | 9.90000,8.25000 | 10.25000 | 9.90000      7.75000 | 10.25000 | 9.90000      7.75000 | 9.75000 | 9.90000      8.25000 | 9.75000 | 9.90000
Несоответствие индексов,3392,2759,12.25000 | 6.25000 | 6.60000      11.75000 | 6.25000 | 6.60000      12.25000 | 5.75000 | 6.60000      11.75000 | 5.75000 | 6.60000,12.25000 | 6.25000 | 6.60000      11.75000 | 6.25000 | 6.60000      11.75000 | 5.75000 | 6.60000      12.25000 | 5.75000 | 6.60000
Несоответствие индексов,2539,4243,8.75000 | 12.75000 | 9.90000      9.25000 | 12.75000 | 9.90000,8.75000 | 12.75000 | 9.90000      9.25000 | 12.75000 | 9.90000
Несоответствие индексов,1567,4050,5.75000 | 0.75000 | 6.60000      5.75000 | 0.75000 | 9.90000,5.75000 | 0.75000 | 6.60000      5.75000 | 0.75000 | 9.90000
Несоответствие индексов,4072,3375,14.75000 | 11.75000 | 6.60000      14.25000 | 11.75000 | 6.60000      14.75000 | 11.25000 | 6.60000      14.25000 | 11.25000 | 6.60000,14.75000 | 11.75000 | 6.60000      14.25000 | 11.75000 | 6.60000      14.25000 | 11.25000 | 6.60000      14.75000 | 11.25000 | 6.60000
Несоответствие индексов,4105,3400,15.25000 | 1.25000 | -3.30000      14.75000 | 1.12500 | -3.30000      15.25000 | 0.75000 | -3.30000      14.75000 | 0.75000 | -3.30000,15.25000 | 1.25000 | -3.30000      14.75000 | 1.12500 | -3.30000      14.75000 | 0.75000 | -3.30000      15.25000 | 0.75000 | -3.30000
