🚀 ВОРКЕРЫ
rst_build.js?t=1757026178659:719 39566мс
parallel-image-worker.ts?worker_file&type=module:15 39567мс
rst_build.js?t=1757026178659:719 39926мс
parallel-image-worker.ts?worker_file&type=module:15 39926мс
rst_build.js?t=1757026178659:719 39739мс
parallel-image-worker.ts?worker_file&type=module:15 39740мс
rst_build.js?t=1757026178659:719 40077мс
parallel-image-worker.ts?worker_file&type=module:15 40078мс
rst_build.js?t=1757026178659:719 40221мс
parallel-image-worker.ts?worker_file&type=module:15 40224мс
rst_build.js?t=1757026178659:719 40324мс
parallel-image-worker.ts?worker_file&type=module:15 40325мс
rst_build.js?t=1757026178659:719 40589мс
parallel-image-worker.ts?worker_file&type=module:15 40596мс
rst_build.js?t=1757026178659:719 40541мс
parallel-image-worker.ts?worker_file&type=module:15 40542мс
rst_build.js?t=1757026178659:719 40360мс
parallel-image-worker.ts?worker_file&type=module:15 40361мс
rst_build.js?t=1757026178659:719 40532мс
parallel-image-worker.ts?worker_file&type=module:15 40532мс
rst_build.js?t=1757026178659:719 40590мс
parallel-image-worker.ts?worker_file&type=module:15 40591мс
rst_build.js?t=1757026178659:719 41048мс
parallel-image-worker.ts?worker_file&type=module:15 41275мс
rst_build.js?t=1757026178659:719 41046мс
parallel-image-worker.ts?worker_file&type=module:15 41047мс
rst_build.js?t=1757026178659:719 41070мс
parallel-image-worker.ts?worker_file&type=module:15 41071мс
rst_build.js?t=1757026178659:719 40913мс
rst_build.js?t=1757026178659:719 41025мс
parallel-image-worker.ts?worker_file&type=module:15 41053мс
parallel-image-worker.ts?worker_file&type=module:15 40913мс
rst_build.js?t=1757026178659:719 40999мс
parallel-image-worker.ts?worker_file&type=module:15 41055мс
rst_build.js?t=1757026178659:719 40940мс
parallel-image-worker.ts?worker_file&type=module:15 40956мс
rst_build.js?t=1757026178659:719 41144мс
rst_build.js?t=1757026178659:719 41117мс
parallel-image-worker.ts?worker_file&type=module:15 41187мс
parallel-image-worker.ts?worker_file&type=module:15 41196мс
rst_build.js?t=1757026178659:719 41002мс
parallel-image-worker.ts?worker_file&type=module:15 41003мс
rst_build.js?t=1757026178659:719 41105мс
parallel-image-worker.ts?worker_file&type=module:15 41105мс
rst_build.js?t=1757026178659:719 40686мс
parallel-image-worker.ts?worker_file&type=module:15 40687мс
rst_build.js?t=1757026178659:719 40695мс
parallel-image-worker.ts?worker_file&type=module:15 40696мс
rst_build.js?t=1757026178659:719 46069мс
parallel-image-worker.ts?worker_file&type=module:15 46070мс
rst_build.js?t=1757026178659:719 45983мс
parallel-image-worker.ts?worker_file&type=module:15 45984мс
rst_build.js?t=1757026178659:719 47036мс
parallel-image-worker.ts?worker_file&type=module:15 47037мс
rst_build.js?t=1757026178659:719 47496мс
parallel-image-worker.ts?worker_file&type=module:15 47498мс
rst_build.js?t=1757026178659:719 43280мс
parallel-image-worker.ts?worker_file&type=module:15 43281мс
content-all.js:803 [Violation] 'focus' handler took 230ms
rst_build.js?t=1757026178659:719 47927мс
parallel-image-worker.ts?worker_file&type=module:15 47927мс
rst_build.js?t=1757026178659:719 47999мс
parallel-image-worker.ts?worker_file&type=module:15 48000мс
rst_build.js?t=1757026178659:719 48286мс
parallel-image-worker.ts?worker_file&type=module:15 48286мс
rst_build.js?t=1757026178659:719 48647мс
parallel-image-worker.ts?worker_file&type=module:15 48648мс
rst_build.js?t=1757026178659:719 48735мс
parallel-image-worker.ts?worker_file&type=module:15 48768мс
rst_build.js?t=1757026178659:719 49569мс
parallel-image-worker.ts?worker_file&type=module:15 49571мс
rst_build.js?t=1757026178659:719 49890мс
parallel-image-worker.ts?worker_file&type=module:15 49890мс
rst_build.js?t=1757026178659:719 45463мс
rst_build.js?t=1757026178659:719 45851мс
parallel-image-worker.ts?worker_file&type=module:15 45853мс
parallel-image-worker.ts?worker_file&type=module:15 45501мс
rst_build.js?t=1757026178659:719 45528мс
parallel-image-worker.ts?worker_file&type=module:15 45529мс
rst_build.js?t=1757026178659:719 49953мс
parallel-image-worker.ts?worker_file&type=module:15 49959мс
rst_build.js?t=1757026178659:719 46104мс
rst_build.js?t=1757026178659:719 46259мс
:5173/src/workers/parallel-image-worker.ts?worker_file&type=module:15 46259мс
:5173/src/workers/parallel-image-worker.ts?worker_file&type=module:15 46111мс
rst_build.js?t=1757026178659:719 46234мс
:5173/src/workers/parallel-image-worker.ts?worker_file&type=module:15 46234мс
rst_build.js?t=1757026178659:719 46418мс
:5173/src/workers/parallel-image-worker.ts?worker_file&type=module:15 46419мс
rst_build.js?t=1757026178659:719 46672мс
:5173/src/workers/parallel-image-worker.ts?worker_file&type=module:15 46672мс
rst_build.js?t=1757026178659:719 46531мс
:5173/src/workers/parallel-image-worker.ts?worker_file&type=module:15 46532мс
rst_build.js?t=1757026178659:719 50478мс
:5173/src/workers/parallel-image-worker.ts?worker_file&type=module:15 50479мс
rst_build.js?t=1757026178659:719 47184мс
:5173/src/workers/parallel-image-worker.ts?worker_file&type=module:15 47185мс
rst_build.js?t=1757026178659:719 47219мс
:5173/src/workers/parallel-image-worker.ts?worker_file&type=module:15 47220мс
rst_build.js?t=1757026178659:719 47136мс
:5173/src/workers/parallel-image-worker.ts?worker_file&type=module:15 47138мс
DocumentGenerator.tsx:568 🚀 ВОРКЕРЫ: 53052мс, макс воркер: 50479мс
