Номер,Индекс координаты,Координаты X,Координаты Y,Координаты Z,Тип,Материал
0,0,0.75,0.75,-3.3,44,4
0,1,0.375,0.75,-3.3,44,4
0,2,0.75,0.375,-3.3,44,4
0,3,0.375,0.375,-3.3,44,4
1,0,0.75,1.25,-3.3,44,4
1,1,0.375,1.25,-3.3,44,4
1,2,0.75,0.75,-3.3,44,4
1,3,0.375,0.75,-3.3,44,4
2,0,0.75,1.75,-3.3,44,4
2,1,0.375,1.75,-3.3,44,4
2,2,0.75,1.25,-3.3,44,4
2,3,0.375,1.25,-3.3,44,4
3,0,0.75,2.25,-3.3,44,4
3,1,0.375,2.25,-3.3,44,4
3,2,0.75,1.75,-3.3,44,4
3,3,0.375,1.75,-3.3,44,4
4,0,0.75,2.75,-3.3,44,4
4,1,0.375,2.75,-3.3,44,4
4,2,0.75,2.25,-3.3,44,4
4,3,0.375,2.25,-3.3,44,4
5,0,0.75,3.25,-3.3,44,4
5,1,0.375,3.25,-3.3,44,4
5,2,0.75,2.75,-3.3,44,4
5,3,0.375,2.75,-3.3,44,4
6,0,0.75,3.75,-3.3,44,4
6,1,0.375,3.75,-3.3,44,4
6,2,0.75,3.25,-3.3,44,4
6,3,0.375,3.25,-3.3,44,4
7,0,0.75,4.25,-3.3,44,4
7,1,0.375,4.25,-3.3,44,4
7,2,0.75,3.75,-3.3,44,4
7,3,0.375,3.75,-3.3,44,4
8,0,0.75,4.75,-3.3,44,4
8,1,0.375,4.75,-3.3,44,4
8,2,0.75,4.25,-3.3,44,4
8,3,0.375,4.25,-3.3,44,4
9,0,0.75,5.25,-3.3,44,4
9,1,0.375,5.25,-3.3,44,4
9,2,0.75,4.75,-3.3,44,4
9,3,0.375,4.75,-3.3,44,4
10,0,0.75,5.75,-3.3,44,4
10,1,0.375,5.75,-3.3,44,4
10,2,0.75,5.25,-3.3,44,4
10,3,0.375,5.25,-3.3,44,4
11,0,0.75,6.25,-3.3,44,4
11,1,0.375,6.25,-3.3,44,4
11,2,0.75,5.75,-3.3,44,4
11,3,0.375,5.75,-3.3,44,4
12,0,0.75,6.75,-3.3,44,4
12,1,0.375,6.75,-3.3,44,4
12,2,0.75,6.25,-3.3,44,4
12,3,0.375,6.25,-3.3,44,4
13,0,0.75,7.25,-3.3,44,4
13,1,0.375,7.25,-3.3,44,4
13,2,0.75,6.75,-3.3,44,4
13,3,0.375,6.75,-3.3,44,4
14,0,0.75,7.75,-3.3,44,4
14,1,0.375,7.75,-3.3,44,4
14,2,0.75,7.25,-3.3,44,4
14,3,0.375,7.25,-3.3,44,4
15,0,0.75,8.25,-3.3,44,4
15,1,0.375,8.25,-3.3,44,4
15,2,0.75,7.75,-3.3,44,4
15,3,0.375,7.75,-3.3,44,4
16,0,0.75,8.75,-3.3,44,4
16,1,0.375,8.75,-3.3,44,4
16,2,0.75,8.25,-3.3,44,4
16,3,0.375,8.25,-3.3,44,4
17,0,0.75,9.25,-3.3,44,4
17,1,0.375,9.25,-3.3,44,4
17,2,0.75,8.75,-3.3,44,4
17,3,0.375,8.75,-3.3,44,4
18,0,0.75,9.75,-3.3,44,4
18,1,0.375,9.75,-3.3,44,4
18,2,0.75,9.25,-3.3,44,4
18,3,0.375,9.25,-3.3,44,4
19,0,0.75,10.25,-3.3,44,4
19,1,0.375,10.25,-3.3,44,4
19,2,0.75,9.75,-3.3,44,4
19,3,0.375,9.75,-3.3,44,4
20,0,0.75,10.75,-3.3,44,4
20,1,0.375,10.75,-3.3,44,4
20,2,0.75,10.25,-3.3,44,4
20,3,0.375,10.25,-3.3,44,4
21,0,0.75,11.25,-3.3,44,4
21,1,0.375,11.25,-3.3,44,4
21,2,0.75,10.75,-3.3,44,4
21,3,0.375,10.75,-3.3,44,4
22,0,0.75,11.75,-3.3,44,4
22,1,0.375,11.75,-3.3,44,4
22,2,0.75,11.25,-3.3,44,4
22,3,0.375,11.25,-3.3,44,4
23,0,0.75,12.25,-3.3,44,4
23,1,0.375,12.25,-3.3,44,4
23,2,0.75,11.75,-3.3,44,4
23,3,0.375,11.75,-3.3,44,4
24,0,0.75,12.75,-3.3,44,4
24,1,0.375,12.75,-3.3,44,4
24,2,0.75,12.25,-3.3,44,4
24,3,0.375,12.25,-3.3,44,4
25,0,0.75,13.125,-3.3,44,4
25,1,0.375,13.125,-3.3,44,4
25,2,0.75,12.75,-3.3,44,4
25,3,0.375,12.75,-3.3,44,4
26,0,0.75,0.75,-3.3,5,2
26,1,0.75,0.75,-2.75,5,2
27,0,0.75,0.75,-2.75,5,2
27,1,0.75,0.75,-2.2,5,2
28,0,0.75,0.75,-2.2,5,2
28,1,0.75,0.75,-1.65,5,2
29,0,0.75,0.75,-1.65,5,2
29,1,0.75,0.75,-1.1,5,2
30,0,0.75,0.75,-1.1,5,2
30,1,0.75,0.75,-0.55,5,2
31,0,0.75,0.75,-0.55,5,2
31,1,0.75,0.75,0,5,2
32,0,0.75,0.75,0,5,2
32,1,0.75,0.75,3.3,5,2
33,0,0.75,0.75,3.3,5,2
33,1,0.75,0.75,6.6,5,2
34,0,0.75,0.75,6.6,5,2
34,1,0.75,0.75,9.9,5,2
35,0,0.75,1.25,-2.75,44,7
35,1,0.75,0.75,-2.75,44,7
35,2,0.75,1.25,-3.3,44,7
35,3,0.75,0.75,-3.3,44,7
36,0,0.75,1.25,-2.2,44,7
36,1,0.75,0.75,-2.2,44,7
36,2,0.75,1.25,-2.75,44,7
36,3,0.75,0.75,-2.75,44,7
37,0,0.75,1.25,-1.65,44,7
