🔍 ОТЛАДКА ЭТАЖ 3: Элемент 1111 (z=6.6), узлы: [1, 2, 3, 4], прилегает к стержню: true
🔍 ОТЛАДКА ЭТАЖ 3: Элемент 1143 (z=6.6), узлы: [1, 2, 3, 4], прилегает к стержню: true
🔍 ОТЛАДКА ЭТАЖ 3: Элемент 1150 (z=6.6), узлы: [1, 2, 3, 4], прилегает к стержню: true
🔍 ОТЛАДКА ЭТАЖ 3: Элемент 1157 (z=6.6), узлы: [1, 2, 3, 4], прилегает к стержню: true
🔍 ОТЛАДКА ЭТАЖ 3: Элемент 1164 (z=6.6), узлы: [1, 2, 3, 4], прилегает к стержню: true
🔍 ОТЛАДКА ЭТАЖ 3: Элемент 1171 (z=6.6), узлы: [1, 2, 3, 4], прилегает к стержню: true
🔍 ОТЛАДКА ЭТАЖ 3: Элемент 1178 (z=6.6), узлы: [1, 2, 3, 4], прилегает к стержню: true
🔍 ОТЛАДКА ЭТАЖ 3: Элемент 1192 (z=6.6), узлы: [1, 2, 3, 4], прилегает к стержню: true
🔍 ОТЛАДКА ЭТАЖ 3: Элемент 1199 (z=6.6), узлы: [1, 2, 3, 4], прилегает к стержню: true
🔍 ОТЛАДКА ЭТАЖ 3: Элемент 1206 (z=6.6), узлы: [1, 2, 3, 4], прилегает к стержню: true
🔍 ОТЛАДКА ЭТАЖ 3: Элемент 1213 (z=6.6), узлы: [1, 2, 3, 4], прилегает к стержню: true
🔍 ОТЛАДКА ЭТАЖ 3: Элемент 1220 (z=6.6), узлы: [1, 2, 3, 4], прилегает к стержню: true
🔍 ОТЛАДКА ЭТАЖ 3: Элемент 1227 (z=6.6), узлы: [1, 2, 3, 4], прилегает к стержню: true
🔍 ОТЛАДКА ЭТАЖ 3: Элемент 1234 (z=6.6), узлы: [1, 2, 3, 4], прилегает к стержню: true
🔍 ОТЛАДКА ЭТАЖ 3: Элемент 1259 (z=6.6), узлы: [1, 2, 3, 4], прилегает к стержню: true
🔍 ОТЛАДКА ЭТАЖ 3: Элемент 1291 (z=6.6), узлы: [1, 2, 3, 4], прилегает к стержню: true
🔍 ОТЛАДКА ЭТАЖ 3: Элемент 1298 (z=6.6), узлы: [1, 2, 3, 4], прилегает к стержню: true
🔍 ОТЛАДКА ЭТАЖ 3: Элемент 1305 (z=6.6), узлы: [1, 2, 3, 4], прилегает к стержню: true
🔍 ОТЛАДКА ЭТАЖ 3: Элемент 1312 (z=6.6), узлы: [1, 2, 3, 4], прилегает к стержню: true
🔍 ОТЛАДКА ЭТАЖ 3: Элемент 1319 (z=6.6), узлы: [1, 2, 3, 4], прилегает к стержню: true
🔍 ОТЛАДКА ЭТАЖ 3: Элемент 1326 (z=6.6), узлы: [1, 2, 3, 4], прилегает к стержню: true
🔍 ОТЛАДКА ЭТАЖ 3: Элемент 1340 (z=6.6), узлы: [1, 2, 3, 4], прилегает к стержню: true
🔍 ОТЛАДКА ЭТАЖ 3: Элемент 1347 (z=6.6), узлы: [1, 2, 3, 4], прилегает к стержню: true
🔍 ОТЛАДКА ЭТАЖ 3: Элемент 1354 (z=6.6), узлы: [1, 2, 3, 4], прилегает к стержню: true
🔍 ОТЛАДКА ЭТАЖ 3: Элемент 1361 (z=6.6), узлы: [1, 2, 3, 4], прилегает к стержню: true
